; 英文的编码用大写字母表示
偀 ying 62
偁 chen 5
偁 cheng 5
偂 jian 734
偂 qian 0
偄 ru 10
偄 ruan 0
偅 tong 352
偅 zhong 0
偆 chun 122
偉 wei 1647
偊 yu 28
偋 bing 180
偍 ti 54
偐 yan 26
偑 feng 227
偒 dang 14
偒 tang 0
偓 wo 406
偔 e 12
偖 che 42
偗 sheng 31
偘 kan 10
偙 di 179
偛 cha 37
偝 bei 314
偞 xie 78
偞 ye 0
偟 huang 55
偠 yao 2939
偡 zhan 9
偢 chou 24
偢 qiao 0
偣 an 17
偣 yan 0
偤 you 14
偦 xu 12
偧 zha 4
偨 ci 15
偩 fu 183
偪 bi 157
偪 fu 0
偫 zhi 13
偭 mian 280
偮 ji 11
偯 yi 17
偰 xie 48
偱 xun 35
偲 cai 722
偲 si 500
偳 duan 33
側 ce 187
側 ze 0
側 zhai 0
偵 zhen 375
偸 tou 944
偹 bei 51
偺 za 22
偺 zan 22
偼 jie 34
偽 wei 8992
傁 sou 12
傂 si 15
傂 zhi 0
傃 su 41
傄 xia 3
傆 yuan 740
傇 rong 4
傉 nu 11
傊 yun 7
傋 gou 133
傋 jiang 0
傌 ma 200
傎 dian 57
傏 tang 18
傐 hao 6
傑 jie 2116
傒 xi 62
傓 shan 10
傔 jian 22
傔 qian 0
傕 jue 45
傕 que 0
傖 cang 14
傖 chen 0
傗 chu 13
傘 san 357
備 bei 4424
傚 xiao 57
傛 rong 147
傛 yong 0
傜 yao 31
傝 ta 25
傝 tan 0
傞 suo 14
傟 yang 13
傠 fa 10
傡 bing 5
傢 jia 1920
傢 jie 1500
傤 zai 154
傦 gu 116
傪 can 79
傪 san 0
傫 lei 1143
傭 chong 109
傭 yong 0
傮 cao 10
傮 zao 0
傯 zong 73
傰 beng 0
傰 peng 0
傱 shuang 32
傱 song 0
傳 chuan 1965
傳 zhuan 1500
傴 yu 7
債 zhai 346
傶 cou 7
傶 qi 7
傶 zu 0
傷 shang 23197
傸 chuang 6
傹 jing 57
傼 han 8
傽 zhang 0
傾 qing 0
傿 yan 0
僀 di 0
僁 xie 0
僂 lou 0
僂 lv 0
僃 bei 0
僄 piao 0
僅 jin 0
僆 lian 0
僇 liao 0
僇 lu 0
僈 man 0
僉 qian 0
僊 xian 0
僋 lan 0
僋 tan 0
僌 ying 0
働 dong 0
僎 zhuan 0
僎 zun 0
僐 shan 0
僑 qiao 0
僒 jiong 0
僓 tui 0
僔 zun 0
僕 pu 0
僗 lao 0
僘 chang 0
僙 guang 0
僛 qi 0
僜 cheng 0
僜 deng 0
僜 teng 0
僝 chan 0
僝 zhuan 0
僞 wei 0
僟 ji 0
僠 bo 0
僡 hui 0
僢 chuan 0
僢 chun 0
僣 jian 0
僣 tie 0
僤 chan 0
僤 dan 0
僥 jiao 0
僥 yao 0
僨 fen 0
僩 xian 0
僪 ju 0
僪 yu 0
僫 e 0
僯 lin 0
僰 bo 0
僱 gu 0
