; ID	pinyin	digit
383	zhun	10597
383	zhuo	10597
384	zong	10775
385	zuan	10937
386	chang	35375
387	cheng	35475
388	chong	35775
389	chuai	35935
390	chuan	35937
391	guang	59375
391	huang	59375
392	jiang	65375
393	jiong	65775
394	kuang	69375
392	liang	65375
395	niang	75375
396	qiang	85375
398	qiong	85775
396	shang	85375
397	sheng	85475
399	shuai	85935
400	shuan	85937
401	xiang	105375
403	xiong	105775
401	zhang	105375
402	zheng	105475
403	zhong	105775
404	zhuai	105935
405	zhuan	105937
406	chuang	359375
407	shuang	859375
408	zhuang	1059375
